stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
139883,60331,52e Avenue / Sherbrooke,45.671421,-73.504564,1
139901,60336,Rodolphe-Forget / Perras,45.648851,-73.578256,1
139917,60337,Maurice-Duplessis / 87e Avenue,45.663094,-73.535837,1
139934,60339,Maurice-Duplessis / 87e Avenue,45.663025,-73.535507,2
139946,60340,Rodolphe-Forget / Maurice-Duplessis,45.644295,-73.573392,2
139968,60344,Rivière-des-Prairies / Perras,45.656452,-73.567570,1
14,10254,Station Square-Victoria–OACI,45.501559,-73.563647,2
140134,60367,Station Henri-Bourassa / Terminus,45.555843,-73.667217,1
140169,60395,Perras / No 10955,45.670145,-73.544255,2
140174,60401,de Louvain / Saint-Laurent,45.545345,-73.654749,1
140286,60426,McGill / Le Moyne,45.500460,-73.557769,1
140298,60434,Rodolphe-Forget / Maurice-Duplessis,45.643385,-73.572843,1
140301,60435,Rodolphe-Forget / Maurice-Duplessis,45.643840,-73.572903,1
140313,60436,Hector / Notre-Dame,45.609888,-73.511128,1
140335,60440,Station Langelier (Sherbrooke / Langelier),45.583093,-73.542790,1
140363,60462,Rivière-des-Prairies / 3e Rue,45.658099,-73.569264,1
140385,60484,des Grandes-Prairies / Pie-IX,45.581957,-73.625154,1
140394,60508,Métropolitain / Dollard-Desjardins,45.652891,-73.523522,1
140405,60509,Métropolitain / du Tricentenaire,45.655802,-73.520945,1
140414,60510,Boulevard Métropolitain / 32e Avenue,45.659671,-73.517531,1
140429,60511,Boulevard Métropolitain Est / No 12345,45.654650,-73.523014,2
140439,60512,Boulevard Métropolitain Est / No 12321,45.652807,-73.524644,2
140449,60513,Boulevard Métropolitain Est / No 12225,45.650839,-73.526384,1
140457,60515,Perras / 81e avenue,45.668193,-73.549411,1
140473,60517,87e Avenue / 4e Rue,45.669719,-73.540456,2
140480,60518,87e Avenue / No 12300,45.667856,-73.539054,2
140490,60519,87e Avenue / No 12123,45.665210,-73.537098,2
140509,60520,Saint-Jean-Baptiste / No 12301,45.664385,-73.545535,2
140583,60528,Côte-Saint-Paul / Sainte-Marie,45.468652,-73.593620,1
140629,60532,Centre Gadbois / Côte-Saint-Paul,45.465911,-73.595732,1
140630,60533,Centre Gadbois / Côte-Saint-Paul,45.465895,-73.595760,1
140645,60541,Saint-Antoine / Champ-de-Mars,45.507801,-73.556491,1
140653,60542,De La Rousselière / Sherbrooke,45.669349,-73.505475,1
140663,60543,De La Rousselière / Forsyth,45.668943,-73.503102,1
140676,60546,Saint-Jean-Baptiste / Notre-Dame,45.640126,-73.490755,1
140681,60547,De La Rousselière / Victoria,45.667797,-73.495266,1
140691,60548,De La Rousselière / Sherbrooke,45.669397,-73.504705,1
140701,60549,De La Rousselière / Prince-Arthur,45.670174,-73.509300,1
140717,60550,Terminus Sherbrooke / Gouin,45.697416,-73.491724,1
