SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620097.02;66.45;22.55;89;294312.2;5035537.1;-73.63410541;45.45968425;0.39
4620098.00;49.03;97.96;146.99;292938.6;5035609.8;-73.65167;45.46031647;1.03
4620099.00;203.31;165.12;368.43;294485.4;5036069.9;-73.63190171;45.46448143;0.69
4620100.01;50.74;25.66;76.4;294011.2;5036562.2;-73.63797595;45.46890365;0.46
4620100.02;66.44;104.12;170.56;293693.6;5036017.4;-73.64202563;45.46399668;0.35
4620102.00;54.24;128.21;182.45;294411.5;5037109.1;-73.63286795;45.47383116;0.59
4620103.00;80.06;159.33;239.39;295151.1;5036628.1;-73.62339938;45.46951373;0.34
4620104.00;188.49;129.88;318.37;295469.5;5037041.4;-73.61933491;45.47323657;0.38
4620105.00;115.89;123.54;239.43;294829.9;5037440.9;-73.62752427;45.4768227;0.31
4620106.00;78.04;76.32;154.36;295462.8;5037471.9;-73.61942951;45.47711108;0.22
4620107.00;16.74;18.8;35.54;295673.9;5037466.3;-73.61672896;45.47706314;0.17
4620108.00;48.19;60.85;109.04;295887;5037786.4;-73.61400919;45.47994628;0.57
4620109.00;19.29;41.9;61.19;295264.4;5038198.8;-73.62198061;45.48364858;0.18
4620110.00;86.46;44.91;131.37;294817.6;5037827.3;-73.62768877;45.48029956;0.24
4620111.00;105.04;195.37;300.41;293885.2;5038472.1;-73.63962939;45.4860882;0.74
4620113.00;12.9;83;95.9;294615;5038755.3;-73.63029964;45.48864715;0.5
4620114.00;22.32;48.16;70.48;295319.3;5038310.5;-73.62128093;45.48465491;0.29
4620115.01;52.72;47.1;99.82;295446.2;5038744;-73.61966545;45.48855714;0.22
4620115.02;61.18;109.82;171;295873.6;5039286.3;-73.61420752;45.49344293;0.43
4620116.00;136.62;331.22;467.84;294855.9;5039245.9;-73.62722776;45.49306523;0.64
4620117.00;0;53.1;53.1;294504.4;5039607.4;-73.63173254;45.4963137;0.27
4620118.00;0;137.91;137.91;294245.9;5039886.5;-73.63504579;45.49882053;0.3
4620119.00;17.48;167.62;185.1;293681;5040154.2;-73.64227983;45.50122132;0.57
4620120.01;61.71;98.52;160.23;292156.7;5038818.1;-73.66175137;45.48917203;2.59
4620120.02;0;41.9;41.9;292886.5;5038756.8;-73.65241243;45.48863359;0.2
4620121.00;56.95;87.83;144.78;294102.8;5041216.1;-73.6369056;45.51078273;0.38
4620122.00;82.21;48.26;130.47;294506.7;5040745.6;-73.63172674;45.50655538;0.67
4620123.00;175.79;175.05;350.84;294943.6;5040420.3;-73.62612903;45.50363471;0.41
4620124.00;20.46;206.26;226.72;294896.4;5041076.4;-73.62674709;45.50953767;0.38
4620125.00;15.34;38.06;53.4;295126.8;5041370.5;-73.62380315;45.51218756;0.47
4620126.00;276.8;774.66;1051.46;295674.2;5040588.6;-73.61678355;45.505159;0.74
4620127.01;93.52;418.56;512.08;295365.3;5039900.7;-73.62072288;45.49896518;0.48
4620127.02;0;60.42;60.42;296521.1;5040052.1;-73.60593655;45.50034162;1.33
4620128.00;108.26;393.73;501.99;297645.8;5040272.7;-73.59154811;45.50233968;3
4620129.01;41.04;337.03;378.07;298278.2;5039933;-73.5834509;45.49928878;0.28
4620129.02;571.65;456.8;1028.45;298661;5040349.6;-73.57855776;45.50304108;0.36
4620130.00;138.32;189.7;328.02;298902.2;5040850.5;-73.57547725;45.50755025;0.16
4620131.00;86.88;14.65;101.53;298938.1;5041039.2;-73.57502032;45.50924869;0.1
4620132.00;209.76;214.09;423.85;299046.8;5041291.6;-73.5736317;45.51152036;0.27
4620133.00;182.59;305.69;488.28;299212.6;5041675.9;-73.57151512;45.51497986;0.15
4620134.00;60.89;163.27;224.16;299315.3;5041917;-73.57020246;45.51715093;0.09
4620135.00;215.46;178.23;393.69;298888.5;5042194.3;-73.5756686;45.51964222;0.12
4620136.00;223.51;342.88;566.39;298755.1;5041960.2;-73.57737408;45.51753454;0.18
4620137.00;143.49;192.78;336.27;298684;5041616.8;-73.57827893;45.514444;0.19
4620138.00;288.33;429.36;717.69;298197.9;5041971.5;-73.58450647;45.51763101;0.28
4620139.00;192.1;306.6;498.7;298351.4;5042323.2;-73.58254544;45.52079765;0.22
4620140.00;114.94;439.08;554.02;298549.2;5042833.6;-73.58002064;45.52539161;0.12
4620141.00;181.86;106.97;288.83;298792.4;5042751.6;-73.57690549;45.5246562;0.12
4620142.00;126.59;59.82;186.41;298939.9;5042630.7;-73.57501624;45.52356978;0.11
4620143.00;130.2;250.91;381.11;299300.7;5042179.5;-73.57039222;45.51951286;0.17
4620144.00;63.51;432.06;495.57;299390.4;5042415.1;-73.56924682;45.52163315;0.19
4620145.00;267.39;110.56;377.95;299479.9;5042931.4;-73.56810664;45.52628011;0.41
4620146.00;313.34;359.34;672.68;298951.2;5043114.7;-73.57487777;45.52792524;0.14
4620147.00;531.88;465.59;997.47;299087.7;5043393;-73.57313383;45.53042984;0.17
4620148.00;129.67;245.66;375.33;299229.9;5043627.2;-73.57131525;45.53253892;0.14
4620149.00;385.99;366.5;752.49;299638.9;5043319;-73.56607566;45.5297683;0.14
4620150.00;110.04;81.9;191.94;299795.7;5043791.6;-73.56407282;45.53402254;0.17
4620151.00;219.49;327.31;546.8;299397.5;5043926.6;-73.56917221;45.53523398;0.12
4620152.00;348.1;484.86;832.96;299532.4;5044104.4;-73.56744747;45.53683553;0.14
4620153.00;71.72;57.54;129.26;299694.6;5044401.1;-73.56537328;45.53950633;0.28
4620154.00;53.16;134.08;187.24;299193.4;5044323;-73.57179046;45.53879984;0.13
4620155.00;233.84;355.83;589.67;299031.5;5044113.6;-73.57386153;45.536914;0.11
4620156.00;144.71;327.78;472.49;298866.5;5043923.9;-73.57597109;45.53520567;0.14
4620157.00;263.83;434.62;698.45;298678.8;5043640.6;-73.57837089;45.53265455;0.16
4620158.00;93.9;497.88;591.78;298536.7;5043389.2;-73.58018805;45.53039114;0.14
4620159.00;88.96;252.35;341.31;298351.9;5043117;-73.58254962;45.52793997;0.12
4620160.00;211.2;422.93;634.13;298219.6;5042914.9;-73.58424055;45.52612043;0.12
4620161.00;169.37;210.03;379.4;298092.5;5042544.7;-73.58586275;45.52278769;0.14
4620162.00;62.76;31.11;93.87;297885.3;5042687.7;-73.58851787;45.5240725;0.1
4620163.00;210.47;408.32;618.79;297741.7;5042187.7;-73.59034834;45.51957263;0.2
4620164.00;65.96;214.58;280.54;297577.4;5041941.7;-73.59244726;45.51735709;0.07
4620165.00;304.91;288.41;593.32;296737.1;5042486.7;-73.60321272;45.52225167;0.15
4620166.00;65.68;93.67;159.35;296095.6;5043171.9;-73.6114367;45.52840983;0.23
4620167.00;109.33;341.75;451.08;296540.9;5043026.6;-73.60573343;45.52710782;0.2
4620168.00;222.45;431.46;653.91;297141.4;5042394.5;-73.59803525;45.52142638;0.17
4620169.00;321.27;326.12;647.39;297183.5;5042542.2;-73.59749849;45.52275625;0.15
