terminalNa,stop_id,mtmx,mtmy,capacity,SRIDU,lat,lng,name
6114,103,300738.66,5042624.87,24,4620041.00,45.52353,-73.55199,Métro Papineau (Cartier / Ste-Catherine)
6115,104,294504.41,5036345.90,15,4620099.00,45.466965,-73.631664,Benny/ Monkland
6116,105,300039.43,5042631.37,19,4620049.00,45.523584,-73.560941,Plessis / Ontario
6117,106,300173.65,5042329.66,15,4620044.00,45.52087,-73.55922,Robin / de la Visitation
6118,107,300110.28,5042793.96,19,4620049.00,45.52504754,-73.56003553,Champlain / Ontario
6119,108,300267.80,5043007.49,23,4620047.00,45.52697,-73.558021,Dorion / Ontario
6120,109,300626.40,5043559.56,0,4620037.00,45.53194,-73.553435,Poupart / Ontario
6121,110,300474.19,5043958.45,23,4620033.00,45.53552845,-73.55538726,Gascon/Rouen
6122,111,300962.55,5043407.09,13,4620038.00,45.53057,-73.54913,Logan / d'Iberville
6123,112,300254.54,5042590.42,14,4620046.00,45.523217,-73.558187,Alexandre de Sève / La Fontaine
6124,113,300623.03,5043547.78,23,4620037.00,45.531834,-73.553478,Poupart/Ontario
6125,114,294695.28,5039989.78,13,4620123.00,45.499757,-73.629298,Ellendale/Côte-Des-Neiges
6126,115,300223.78,5043585.40,0,4620035.00,45.53217,-73.55859,Rouen / Fullum
6127,116,295559.23,5044224.76,11,4620232.00,45.537877,-73.618323,Henri Julien/Castelneau
6128,117,300620.57,5044184.01,0,4620034.00,45.537559,-73.553515,Wurtele / Rouen
6129,121,299865.37,5043347.52,15,4620048.00,45.53002706,-73.56317639,de Bordeaux / Sherbrooke
6130,118,300050.77,5044088.95,15,4620032.00,45.5367,-73.56081,Sherbrooke / Frontenac
6131,119,299924.40,5043780.55,35,4620150.00,45.533924,-73.562425,Fullum / Sherbrooke
6132,136,300159.44,5043250.41,23,4620036.00,45.52915521,-73.55941057,Larivière / de Lorimier
6133,120,299644.24,5043968.58,19,4620152.00,45.535614,-73.566014,Terasse Mercure / Fulum
6134,135,299907.72,5044229.53,19,4620153.00,45.537964,-73.562643,Gascon/Rachel
6136,137,297797.11,5043099.44,15,4620172.00,45.527777,-73.589652,Métro Laurier (Rivard/ Bibaud)
6137,138,299595.63,5043367.18,0,4620149.00,45.530202,-73.56663,Gauthier / Papineau
6138,139,299698.33,5043546.69,11,4620149.00,45.531818,-73.565317,Gauthier / De Lorimier
6139,140,299772.35,5043607.97,11,4620150.00,45.53237,-73.56437,Gauthier / des Érables
6140,141,299309.74,5043322.93,15,4620147.00,45.52980158,-73.57028961,Marquette / Rachel
6141,142,299466.95,5043597.11,27,4620148.00,45.53227,-73.56828,de Bordeaux / Rachel
6142,143,299171.57,5043099.61,31,4620145.00,45.527791,-73.572056,Calixa Lavalée / Rachel
6143,144,299125.86,5042999.52,14,4620145.00,45.52689,-73.57264,Rachel / Brébeuf
6145,145,299159.23,5042755.01,19,4620145.00,45.52469,-73.57221,du Parc-La Fontaine / Duluth
6146,146,299430.85,5042576.29,19,4620145.00,45.523084,-73.568731,du Parc-La Fontaine / Roy
6147,147,299687.31,5042765.67,27,4620145.00,45.52479,-73.56545,Calixa-Lavallée / Sherbrooke
6148,148,299751.59,5043043.44,31,4620145.00,45.52729,-73.56463,Émile-Duployé / Sherbrooke
6149,149,299383.21,5044308.42,27,4620154.00,45.53867,-73.56936,Chapleau / Mont-Royal
6150,150,299407.27,5044141.59,17,4620152.00,45.537169,-73.56905,Terrasse Guindon / Fullum
6151,151,299198.60,5043972.97,19,4620151.00,45.53565,-73.57172,des Érables / Mont-Royal
6152,152,299060.04,5043804.66,1,4620156.00,45.53413437,-73.57349217,Chabot / Mont-Royal
6153,153,299193.93,5043642.25,0,4620148.00,45.532674,-73.571776,Cartier/Marie-Anne
6154,154,298907.71,5043599.83,19,4620157.00,45.53229,-73.57544,Marquette / Mont-Royal
6155,155,298806.03,5043447.68,27,4620157.00,45.53092,-73.57674,Garnier / Mont-Royal
6156,156,298844.01,5043094.07,19,4620146.00,45.52773841,-73.57624948,Marie-Anne / de la Roche
6157,157,298685.49,5043185.53,23,4620146.00,45.52856,-73.57828,de la Roche / Mont-Royal
6158,158,298431.87,5043426.93,19,4620158.00,45.53073,-73.58153,Gilford / Brébeuf
6159,159,295242.62,5044690.88,11,4620234.00,45.542067,-73.622386,Villeray/Lajeunesse
6160,160,298459.46,5043675.84,23,4620157.00,45.53297,-73.58118,Garnier / Saint-Joseph
6161,161,298655.81,5043985.70,18,4620156.00,45.53576,-73.57867,Cartier / Saint-Joseph
6162,162,298930.54,5044459.97,15,4620178.00,45.54003,-73.575158,Fullum / Saint-Joseph
6163,163,298380.07,5043949.30,23,4620176.00,45.53543,-73.5822,Marquette / Laurier
6164,164,298261.36,5043721.72,19,4620174.00,45.533381,-73.583717,Lanaudière / Laurier
6165,165,298155.58,5043621.70,35,4620174.00,45.53248,-73.58507,Brébeuf / Laurier
6166,166,297886.31,5043802.02,26,4620174.00,45.5341,-73.58852,Brébeuf / Saint-Grégoire
6167,167,298095.98,5044127.41,11,4620176.00,45.53703,-73.58584,Marquette / Saint-Grégoire
6168,168,300502.87,5041103.87,23,4620055.01,45.509842,-73.554995,Gosford/St-Antoine
6169,169,297967.06,5043291.95,15,4620173.00,45.529511,-73.587479,St-André/Laurier
6170,170,298022.51,5043351.35,19,4620173.00,45.530046,-73.58677,de Mentana / Laurier
6171,171,300091.58,5042177.47,27,4620044.00,45.5195,-73.560269,Wolfe/Robin
6173,173,299390.60,5042138.67,35,4620143.00,45.5191458,-73.5692414,Cherrier / Berri
6174,174,299120.39,5042131.60,22,4620135.00,45.51908,-73.5727,Roy / Saint-Denis
6175,175,299508.57,5042297.73,22,4620144.00,45.520578,-73.567733,St-André/Cherrier
6176,176,299063.70,5042586.28,19,4620144.00,45.523171,-73.573431,St-André / Duluth
6177,177,298881.01,5042703.25,0,4620142.00,45.524222,-73.575771,Saint-André / Rachel
6178,178,298948.98,5042434.48,18,4620143.00,45.52180403,-73.57489765,Duluth  / Berri
6179,179,298872.83,5042306.86,6,4620135.00,45.520655,-73.575871,Duluth/St-Denis
6180,180,299957.38,5041082.93,18,4620057.00,45.50965,-73.561976,Place de la paix (St-Dominique/place du marché)
6181,181,298342.96,5041884.86,23,4620138.00,45.516853,-73.582648,Clark/Rachel
6182,182,298151.94,5042401.48,11,4620161.00,45.5215,-73.5851,Bullion / Mont-Royal
6183,183,298227.84,5042502.86,23,4620139.00,45.52241291,-73.58412981,Laval / Mont-Royal
6184,184,298351.51,5042753.90,35,4620160.00,45.524673,-73.58255,Métro Mont-Royal (Rivard/Mont-Royal)
6185,185,296913.24,5045490.81,15,4620249.00,45.549286,-73.601006,Des érables/Bélanger
6186,186,298549.45,5043060.08,27,4620159.00,45.52743,-73.58002,Boyer / Mont-Royal
6187,187,298478.49,5042953.02,3,4620159.00,45.526466,-73.580927,St-André/ Mont-Royal
6188,188,298722.08,5042899.11,23,4620140.00,45.525983,-73.577808,Mentana / Marie-Anne
6189,189,296252.01,5045641.49,11,4620242.00,45.550634,-73.609477,Chabot/Everett
6190,190,298093.85,5043013.66,15,4620160.00,45.527008,-73.585852,Pontiac/Gilford
6191,191,295999.39,5043504.44,0,4620219.00,45.531401,-73.612674,St-Zotique/Clark
6192,192,297632.24,5043324.67,19,4620172.00,45.529802,-73.591766,Berri/St-Grégoire
6193,193,297241.21,5042401.96,19,4620168.00,45.521495,-73.596758,Esplanade/Fairmount
6194,83,298080.84,5038890.28,15,4620065.02,45.489904,-73.585962,Métro Atwater (Atwater / Maisonneuve)
6195,195,297786.62,5042654.15,19,4620162.00,45.52377,-73.58978,de Bullion / Boul. Saint-Joseph
6196,196,297833.22,5042409.61,19,4620161.00,45.52157,-73.58918,Villeneuve/St-Laurent
6197,197,298278.68,5044233.35,19,4620177.00,45.537985,-73.583502,Cartier/Masson
6198,198,297358.54,5043318.10,4,4620172.00,45.52974,-73.59527,Hélène-Baillargeon / Saint-Denis
6199,199,297037.24,5042810.79,19,4620170.00,45.52517156,-73.59937549,Clark / Saint-Viateur
6200,200,297310.21,5042743.61,7,4620171.00,45.52457,-73.59588,Maguire / Saint-Laurent
6201,201,297963.96,5042626.77,23,4620162.00,45.52352541,-73.58750939,Villeneuve / de l'Hôtel-de-Ville
6202,122,299279.35,5041124.16,23,4620132.00,45.510016,-73.570654,Sainte-Famille / Sherbrooke
6203,202,299167.70,5040879.11,3,4620131.00,45.50781,-73.57208,Hutchison / Sherbrooke
6204,46,298962.48,5040926.08,31,4620130.00,45.508231,-73.574707,Milton / Durocher
6205,203,299053.81,5041090.36,31,4620132.00,45.50971,-73.57354,Milton / du Parc
6206,204,298903.10,5041188.30,0,4620132.00,45.51059,-73.57547,Prince-Arthur / du Parc
6207,205,298782.49,5041435.45,15,4620132.00,45.51281295,-73.57701659,Sainte-Famille / des Pins
6208,206,298701.52,5041199.60,19,4620131.00,45.51069,-73.57805,Hutchison / des Pins
6209,207,299282.25,5041402.43,23,4620132.00,45.51252,-73.57062,Milton / Clark
6210,208,292619.55,5045677.05,15,4620270.00,45.5509,-73.656,Metro  Sauvé (Sauvé/Berri)
6211,209,298886.44,5041746.19,23,4620136.00,45.51561,-73.57569,Roy / Saint-Laurent
6212,210,298440.75,5041701.17,14,4620138.00,45.515201,-73.581394,Duluth/Esplanade
6213,211,298611.59,5041912.04,15,4620136.00,45.5171,-73.57921,Duluth / Saint-Laurent
6214,212,299404.60,5041939.09,9,4620134.00,45.51735,-73.56906,Square Saint-Louis
6215,213,298689.48,5041671.92,19,4620137.00,45.51494,-73.57821,Saint-Cuthbert / Saint-Urbain
6216,214,298156.64,5041674.68,34,4620138.00,45.51496,-73.58503,Parc du Mont-Royal
6217,215,298267.49,5042181.66,23,4620139.00,45.519523,-73.583618,Marie-Anne/St-Dominique
6218,404,299058.11,5041429.53,19,4620132.00,45.512762,-73.573489,Prince-Arthur / Saint-Urbain
6219,216,298990.44,5041928.35,0,4620136.00,45.51725,-73.574361,Hôtel de Ville/Roy
6220,217,298767.67,5042149.36,15,4620135.00,45.51923691,-73.57721508,Laval / Duluth
6221,218,298014.98,5042169.37,23,4620138.00,45.51941,-73.58685,Mont-Royal / Clark
6222,219,297942.81,5042038.09,11,4620138.00,45.518228,-73.587772,de l'Esplanade / Mont-Royal
6223,220,297846.72,5041901.73,33,4620138.00,45.517,-73.589,Mont-Royal / du Parc
6224,221,297585.16,5042045.38,15,4620163.00,45.51829,-73.59235,Villeneuve/ Parc
6225,222,297725.32,5042256.15,11,4620163.00,45.520188,-73.590559,Villeneuve / St-Urbain
6226,223,299995.36,5048423.90,35,4620190.02,45.575707,-73.561562,Hopital Maisonneuve Rosemont (Rosemont/Chatelain)
6227,224,297417.61,5042336.29,23,4620168.00,45.520906,-73.594499,Esplanade/Laurier
