idFeuillet;idPersonne;mtmx;mtmy;SRDOMI;nbPersLogi;facteurPersonne;facteurLogement;age;permis;statut;sexe;SRIDU
191744;191744 1;297521;5042499;4620170;1;26.52;27.55;55;1;1;1;4620170.00
191759;191759 1;298123;5046256;4620202;4;22.68;23.05;50;2;7;2;4620202.00
191759;191759 2;298123;5046256;4620202;4;25.74;23.05;26;1;1;2;4620202.00
191759;191759 3;298123;5046256;4620202;4;33.53;23.05;24;1;1;2;4620202.00
191759;191759 4;298123;5046256;4620202;4;19.64;23.05;17;2;3;2;4620202.00
191760;191760 1;292828;5048249;4620276;3;29.48;30.37;64;1;5;1;4620276.00
191760;191760 2;292828;5048249;4620276;3;26.08;30.37;64;2;7;2;4620276.00
191760;191760 3;292828;5048249;4620276;3;29.18;30.37;35;1;1;2;4620276.00
191779;191779 1;299769;5043615;4620150;2;37.81;29.77;26;1;3;1;4620150.00
191779;191779 2;299769;5043615;4620150;2;43.83;29.77;24;2;2;1;4620150.00
191796;191796 1;298654;5043477;4620157;2;17.19;17.86;57;1;4;1;4620157.00
191796;191796 2;298654;5043477;4620157;2;19.07;17.86;50;1;1;1;4620157.00
191797;191797 1;303149;5052298;4620003;2;25.07;27.24;30;1;1;1;4620003.00
191797;191797 2;303149;5052298;4620003;2;29.44;27.24;27;1;1;2;4620003.00
191818;191818 1;297391;5044114;4620210;2;27.01;24.86;25;1;2;2;4620210.00
191818;191818 2;297391;5044114;4620210;2;30.21;24.86;29;1;1;1;4620210.00
191820;191820 1;301800;5044900;4620021;4;17.27;19.89;58;2;4;2;4620021.00
191820;191820 2;301800;5044900;4620021;4;26.79;19.89;27;2;3;1;4620021.00
191820;191820 3;301800;5044900;4620021;4;25.35;19.89;37;2;2;1;4620021.00
191820;191820 4;301800;5044900;4620021;4;17.02;19.89;66;2;4;1;4620021.00
191860;191860 1;297455;5045780;4620203;3;18.94;19.25;50;1;5;2;4620203.00
191860;191860 2;297455;5045780;4620203;3;25.16;19.25;44;1;1;1;4620203.00
191860;191860 3;297455;5045780;4620203;3;18.2;19.25;6;5;3;2;4620203.00
191871;191871 1;300544;5047290;4620190.02;1;24.42;24.69;85;2;4;2;4620190.02
191905;191905 1;301874;5044760;4620021;5;31.26;33.15;37;2;5;2;4620021.00
191905;191905 2;301874;5044760;4620021;5;42.25;33.15;38;2;5;1;4620021.00
191905;191905 3;301874;5044760;4620021;5;27.73;33.15;19;2;5;2;4620021.00
191905;191905 4;301874;5044760;4620021;5;27.73;33.15;17;2;1;2;4620021.00
191905;191905 5;301874;5044760;4620021;5;38.83;33.15;14;5;3;2;4620021.00
191918;191918 1;293133;5046994;4620272;2;18.33;19.01;57;2;2;2;4620272.00
191918;191918 2;293133;5046994;4620272;2;18.45;19.01;61;2;1;1;4620272.00
191927;191927 1;294344;5046648;4620264.01;1;32.94;29.31;82;2;4;2;4620264.01
