Name;Number;longitude;latitude;;;;
Stuart / Côte-Ste-Catherine;6302;-73.60628;45.51529;;;;
Terasse Mercure / Fulum;6133;-73.566014;45.535614;;;;
Terrasse Guindon / Fullum ;6150;-73.56905;45.537169;;;;
Torrance/Lucien L'Aller;6096;-73.569299;45.493951;;;;
Towers/ Ste-Catherine;6097;-73.581088;45.492504;;;;
Trans Island/Queen Mary ;6420;-73.628834;45.484489;;;;
Union/Maisonneuve;6072;-73.571226;45.504844;;;;
Union/René Lévesque;6738;-73.566497;45.50233;;;;
University / des Pins;6075;-73.580498;45.508356;;;;
University / Milton;6070;-73.57622;45.50624;;;;
University / Prince-Arthur;6047;-73.57845;45.50733;;;;
Valois/Ste-Catherine;6346;-73.537669;45.545409;;;;
Viau /Pierre de Coubertain;6701;-73.547909;45.563029;;;;
Victoria/Maisonneuve;6434;-73.600353;45.477581;;;;
Victorial Hall;6435;-73.6;45.4816;;;;
Viger/Jeanne Mance;6035;-73.5612;45.504803;;;;
Villeneuve / de l'Hôtel-de-Ville;6201;-73.58750939369202;45.52352540631033;;;;
Villeneuve / St-Urbain;6225;-73.590559;45.520188;;;;
Villeneuve/ Parc;6224;-73.59235;45.51829;;;;
Villeneuve/St-Laurent;6196;-73.58918;45.52157;;;;
Villeray/Lajeunesse;6159;-73.622386;45.542067;;;;
Waverly / Saint-Viateur;6230;-73.60042154788971;45.52402527115221;;;;
Waverly / St-Zotique;6747;-73.614616;45.5306;;;;
Waverly / Van Horne;6228;-73.607723;45.527363;;;;
West Broadway/Sherbrooke;6369;-73.6402148;45.45639046;;;;
Wilderton  / Van Horne;6366;-73.624835;45.510042;;;;
Willibord / Verdun;6426;-73.571438;45.459707;;;;
Wilson/Sherbrooke;6415;-73.6162;45.4703;;;;
Wolfe / René-Lévesque;6104;-73.55417490005493;45.516872646826776;;;;
Wolfe/Robin;6171;-73.560269;45.5195;;;;
Wurtele / Rouen;6128;-73.553515;45.537559;;;;
