Name;Number;longitude;latitude;;;;
Esplanade/Fairmount;6193;-73.596758;45.521495;;;;
Esplanade/Laurier;6227;-73.594499;45.520906;;;;
Evans/Clark;6003;-73.567974;45.511119;;;;
Fabre / Beaubien;6904;-73.597793;45.542055;;;;
Fabre / Saint-Zotique;6270;-73.600982;45.543541;;;;
Faillon / Saint-Denis;6327;-73.62038255;45.53985704;;;;
Faillon / Saint-Hubert;6336;-73.617822;45.542892;;;;
Fairmount/St-Dominique;6280;-73.594059;45.524611;;;;
Fleury/Lajeunesse;6422;-73.6616;45.5536;;;;
Fortune/wellington;6732;-73.559038;45.477923;;;;
Francis/Fleury;6716;-73.655573;45.563947;;;;
François Perrault / LO David;6735;-73.601544;45.561396;;;;
Fullum / Saint-Joseph;6162;-73.575158;45.54003;;;;
Fullum / Sherbrooke ;6131;-73.562425;45.533924;;;;
Garnier / Mont-Royal;6155;-73.57674;45.53092;;;;
Garnier / Saint-Joseph;6160;-73.58118;45.53297;;;;
Gary Carter / St-Laurent;6321;-73.622351;45.536152;;;;
Gascon/Rachel;6134;-73.562643;45.537964;;;;
Gascon/Rouen;6121;-73.55538726;45.53552845;;;;
Gaspé / Fairmount ;6094;-73.593016;45.525669;;;;
Gaspé/Dante;6251;-73.612278;45.534377;;;;
Gatineau/Lacombe ;6315;-73.622442;45.497598;;;;
Gauchetière/Bleury;6708;-73.56279;45.504561;;;;
Gauthier / De Lorimier;6138;-73.565317;45.531818;;;;
Gauthier / des Érables;6139;-73.56437;45.53237;;;;
Gauthier / Papineau;6137;-73.56663;45.530202;;;;
Georges Baril/ Fleury;6710;-73.65884;45.558457;;;;
Georges-Vanier / Notre-Dame;6403;-73.57178;45.48501;;;;
Gilford / Brébeuf;6158;-73.58153;45.53073;;;;
Gilford/Lanaudière;6237;-73.580541;45.532013;;;;
Gosford/St-Antoine;6168;-73.554995;45.509842;;;;
Gounod / Saint-Denis;6329;-73.625894;45.541791;;;;
Grand boulevard/Sherbrooke;6718;-73.623295;45.466569;;;;
Grand trunk/Hibernia;6377;-73.56385;45.47968;;;;
Guizot / Saint-Denis;6331;-73.632267;45.543376;;;;
Guizot / Saint-Laurent;6323;-73.634319;45.539964;;;;
Guy / Notre-Dame;6088;-73.567091;45.489951;;;;
Hamel/Sauvé;6726;-73.65041;45.560742;;;;
Hamilton/Jolicoeur;6744;-73.597557;45.456355;;;;
Hampton/Monkland;6263;-73.6266;45.4714;;;;
Harvard/Monkland;6339;-73.6237;45.4743;;;;
Hélène-Baillargeon / Saint-Denis;6198;-73.59527;45.52974;;;;
Henri Julien/Castelneau;6127;-73.618323;45.537877;;;;
Henri-Julien / Jean-Talon;6250;-73.61529;45.53707;;;;
Hillside / Ste-Catherine;6433;-73.591;45.4829;;;;
Hôpital général juif;6423;-73.629822;45.496302;;;;
Hopital Maisonneuve Rosemont (Rosemont/Chatelain);6226;-73.561562;45.575707;;;;
Hôtel de Ville/Roy ;6219;-73.574361;45.51725;;;;
Hudson/Kent;6240;-73.629593;45.505973;;;;
Hutchison / des Pins;6208;-73.57805;45.51069;;;;
Hutchison / Sherbrooke;6203;-73.57208;45.50781;;;;
Hutchison / Van Horne;6232;-73.61073732376099;45.525021229212776;;;;
Hutchison/ Prince Arthur;6079;-73.576105;45.509864;;;;
Island/Augustin-Cantin;6921;-73.56613219;45.48264173;;;;
Island/Centre;6350;-73.5644;45.4815;;;;
Jacques Cassault/Christophe-Colomb;6737;-73.630103;45.552123;;;;
Jacques Le Ber/Ch Pointe Nord;6016;-73.539285;45.472503;;;;
Jardin Botanique;6383;-73.554902;45.555029;;;;
Joseph Manceau / René-Lévesque;6091;-73.576453;45.492147;;;;
Kent / Côte-Des-Neiges;6312;-73.633161;45.501302;;;;
Kent/Victoria;6717;-73.638772;45.494805;;;;
King / Wellington;6049;-73.55488;45.4982;;;;
La Ronde;6504;-73.534859;45.521769;;;;
Lajeunesse / Jarry;6334;-73.6284;45.543583;;;;
Lajeunesse / Jean-Talon;6253;-73.61425638198853;45.53973680304488;;;;
Lambert-Closse / Tupper;6084;-73.582445;45.489609;;;;
Lanaudière / Laurier;6164;-73.583717;45.533381;;;;
Larivière / de Lorimier;6132;-73.559410572052;45.52915520624575;;;;
Lasalle / Ste-Catherine;6700;-73.534576;45.550056;;;;
Lasalle/Crawford;6712;-73.58251;45.438201;;;;
Laval / Duluth;6220;-73.57721507549286;45.51923690964773;;;;
Laval / Mont-Royal;6183;-73.58412981033325;45.52241290921658;;;;
Laval/Rachel;6307;-73.579463;45.520018;;;;
Le Caron / Marc-Sauvalle ;6709;-73.584039;45.461685;;;;
Leman/Chateaubriand;6333;-73.631103;45.547218;;;;
Lespérance/Rouen;6103;-73.552496;45.538799;;;;
Lincoln / Dufort;6102;-73.583836;45.493034;;;;
Lionel-Groulx / George-Vanier;6409;-73.573286;45.486457;;;;
Logan / d'Iberville;6122;-73.54913;45.53057;;;;
Logan / Fullum;6108;-73.55108499526978;45.528448693514136;;;;
Louis Hémon / Rosemont;6261;-73.588069;45.54458;;;;
Louis-Colin / McKenna;6928;-73.618105;45.500035;;;;
Louis-Hébert / Beaubien;6266;-73.59268;45.54857;;;;
Louis-Hébert / Bélanger;6279;-73.598852;45.551457;;;;
Louis-Hébert / Saint-Zotique;6278;-73.59576;45.55001;;;;
Louis-Hémon / Beaubien;6277;-73.59353;45.54705;;;;
Louis-Hémon / Villeray;6345;-73.610711;45.554931;;;;
Mackay / René-Lévesque;6080;-73.57417345046997;45.49449932378212;;;;
Maguire / Saint-Laurent;6200;-73.59588;45.52457;;;;
Maisonneuve/McGill College;6027;-73.573017;45.50269;;;;
Mansfield / René-Lévesque;6060;-73.56928;45.50015;;;;
Mansfield / Sherbrooke;6068;-73.57505;45.50297;;;;
Mansfield / Ste-Catherine ;6066;-73.5718136;45.5014018;;;;
Marché Atwater;6406;-73.577102;45.480359;;;;
Marché Maisonneuve;6397;-73.53931;45.553491;;;;
Marcil/Sherbrooke;6354;-73.613924;45.471743;;;;
Marie-Anne / de la Roche;6156;-73.5762494802475;45.52773841379083;;;;
Marie-anne/ St-Hubert;6926;-73.578755;45.524634;;;;
Marie-Anne/St-Dominique;6217;-73.583618;45.519523;;;;
Marquette / Jean-Talon;6923;-73.60760986804962;45.54735612315234;;;;
Marquette / Laurier;6163;-73.5822;45.53543;;;;
Marquette / Mont-Royal;6154;-73.57544;45.53229;;;;
Marquette / Rachel;6140;-73.5702896118164;45.5298015824607;;;;
Marquette / Saint-Grégoire;6167;-73.58584;45.53703;;;;
Marquette / Villeray;6343;-73.615021;45.550551;;;;
McGill / d'Youville;6038;-73.55566;45.49975;;;;
McGill / des Récollets;6039;-73.558826;45.500779;;;;
Mentana / Marie-Anne;6188;-73.577808;45.525983;;;;
Metcalfe / Sainte-Catherine;6059;-73.57215642929077;45.50068473942228;;;;
Metro  Sauvé (Sauvé/Berri);6210;-73.656;45.5509;;;;
Métro Atwater (Atwater / Maisonneuve);6194;-73.585962;45.489904;;;;
Métro Champs-de-Mars (Viger/Sanguinet);6359;-73.55653;45.510499;;;;
