idFeuillet;lng;lat;SRIDU;mtmx;mtmy;popLogi;facteurLogement;popPonderee;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche
226310;-73.59101327;45.52945462;4620172.00;297691;5043286;3;29.84;89.5;40;9;747;136;0;0;0;0;122;28;71569;15482;18510;4032;14568;3168;12615;2714
19270;-73.63136781;45.54085228;4620227.00;294541;5044557;1;28.18;28.2;16;6;209;79;0;0;0;0;110;27;49259;14409;13591;3864;9911;3154;8125;2329
266768;-73.60327236;45.52631275;4620167.00;296733;5042938;2;17.86;35.7;26;9;431;163;0;0;0;0;107;26;73748;15081;19958;4272;14996;3026;12755;2565
136256;-73.53908189;45.54177597;4620022.00;301748;5044652;2;22.7;45.4;6;2;104;24;0;0;0;0;65;18;32483;6798;7382;1506;6542;1364;5861;1292
40207;-73.57788007;45.54960268;4620183.00;298719;5045524;2;28.09;56.2;16;6;286;112;0;0;0;0;99;27;59261;17218;15245;4197;11518;3359;10280;2954
113785;-73.62635519;45.46388535;4620097.01;294919;5036003;1;35.86;35.9;5;1;63;3;0;0;0;0;71;30;60033;25784;15277;6606;12232;5252;10392;4460
40355;-73.64848477;45.5054586;4620401.00;293197;5040626;5;15.05;75.3;0;0;0;0;0;0;0;0;59;11;36951;7869;8384;1810;7465;1593;6618;1394
32947;-73.60571311;45.53080071;4620216.00;296543;5043437;5;30.7;153.5;29;8;474;132;0;0;0;0;109;26;69069;22545;18869;5936;13992;4879;11932;3910
181203;-73.57196117;45.47772724;4620076.00;299174;5037536;2;28.63;57.3;12;3;252;71;0;0;0;0;115;27;53378;10349;11826;2247;10891;2117;10167;1995
170401;-73.61186511;45.49538609;4620115.02;296057;5039502;1;25.95;26;3;0;65;0;0;0;0;0;60;22;62468;20594;15040;4591;12585;4139;10962;3733
193758;-73.51825683;45.60979046;4620003.00;303376;5052210;4;24.18;96.7;0;0;0;0;0;0;0;0;60;13;38661;11981;9176;2900;7556;2313;7227;2230
33244;-73.5215058;45.59013766;4620008.00;303122;5050026;3;24.38;73.1;0;0;0;0;0;0;0;0;44;14;32410;8248;7600;1921;6272;1587;6184;1592
100435;-73.55828599;45.53799747;4620032.00;300248;5044233;1;27.55;27.6;23;5;393;76;0;0;0;0;118;37;73171;27370;17532;6644;14643;5456;13353;4977
111779;-73.63452399;45.51656195;4620400.00;294290;5041858;2;26.04;52.1;0;0;0;0;2;1;244;122;66;15;35256;5838;7863;1178;7103;1186;6546;1158
67595;-73.57212553;45.48624868;4620077.00;299162;5038483;2;17.64;35.3;24;6;448;123;1;0;84;0;113;11;60788;3295;13779;753;12402;658;11369;628
269660;-73.57037634;45.51980492;4620143.00;299302;5042212;3;29.84;89.5;46;11;810;192;0;0;0;0;129;34;67712;15393;17442;4359;13949;3120;11834;2550
141274;-73.59082973;45.55859147;4620201.00;297709;5046524;1;27.03;27;8;1;121;15;0;0;0;0;110;16;88357;11363;22517;2495;17845;2340;15015;2016
67520;-73.60154259;45.55392131;4620250.00;296872;5046006;1;23.45;23.5;16;2;248;34;0;0;0;0;133;31;74771;12021;17718;2423;15019;2472;13448;2374
60368;-73.63952815;45.51636698;4620400.00;293899;5041837;5;24.95;124.8;0;0;0;0;2;2;244;244;58;14;30094;10760;6870;2552;5992;2122;5464;1874
212363;-73.67082077;45.53674183;4620268.01;291459;5044106;2;28.72;57.4;0;0;0;0;3;0;68;0;75;16;46459;9500;12352;2229;9007;1925;8042;1722
150277;-73.65994111;45.54715069;4620270.00;292311;5045261;2;21.56;43.1;3;0;41;0;1;0;8;0;109;32;68971;19381;19681;5454;13275;3693;11467;3246
161028;-73.64732011;45.5152234;4620403.00;293290;5041711;5;19.5;97.5;0;0;0;0;1;1;122;122;43;16;27833;11388;6769;2668;5430;2250;4788;2002
91847;-73.56798124;45.51860958;4620143.00;299489;5042079;1;35.12;35.1;48;10;875;199;0;0;0;0;141;44;70767;21924;18188;5962;14531;4416;12417;3726
122082;-73.62700842;45.47574462;4620105.00;294870;5037321;1;27.94;27.9;7;3;105;45;0;0;0;0;121;32;78381;20081;19802;4750;15840;4086;13432;3525
201602;-73.62058755;45.54162903;4620234.00;295383;5044642;2;29.33;58.7;22;7;305;97;0;0;0;0;115;27;54298;9898;12814;2418;11394;2068;9790;1804
116597;-73.59268196;45.46191097;4620087.00;297552;5035780;2;28.63;57.3;5;1;83;15;0;0;0;0;85;22;38993;8545;8480;1951;7803;1644;7570;1650
54586;-73.65383594;45.57661964;4620275.00;292794;5048535;2;19.01;38;0;0;0;0;0;0;0;0;58;12;46647;9809;12241;2735;8912;1836;7798;1588
68245;-73.59966522;45.53525135;4620211.00;297016;5043931;4;24.2;96.8;29;6;513;112;0;0;0;0;110;42;64970;24438;17341;6762;13293;4926;11294;4210
35896;-73.60164729;45.56937136;4620254.00;296866;5047723;4;22.4;89.6;1;0;15;0;0;0;0;0;113;42;79972;22694;21782;6190;15357;4285;13117;3761
126769;-73.6206855;45.52755546;4620220.00;295373;5043078;1;28.18;28.2;15;4;203;61;1;1;26;26;91;25;69095;19344;17312;4903;13807;3722;12526;3499
125977;-73.57295344;45.53297695;4620148.00;299102;5043676;1;27.55;27.6;42;10;786;173;0;0;0;0;140;37;77917;19898;19693;4840;15240;3964;13933;3578
203144;-73.59719264;45.54184929;4620209.00;297210;5044664;1;28.18;28.2;24;6;401;89;0;0;0;0;107;26;59133;19193;15811;5512;11730;3807;10346;3216
152364;-73.62429163;45.46755;4620103.00;295081;5036410;1;25.34;25.3;8;3;95;33;0;0;0;0;91;23;72983;21723;18499;5750;14836;4406;12636;3695
197572;-73.64876103;45.55202491;4620265.00;293185;5045801;2;28.72;57.4;4;1;43;11;1;0;8;0;96;21;53314;9171;14894;2678;10336;1780;8986;1519
108024;-73.63791044;45.55100372;4620264.02;294032;5045686;1;29.31;29.3;8;2;95;21;0;0;0;0;98;30;36836;10990;10801;3064;6950;2096;6181;1912
195685;-73.63181893;45.5695025;4620262.00;294511;5047741;4;25.07;100.3;0;0;0;0;0;0;0;0;45;6;30600;5955;9819;1780;5380;1084;4571;901
158304;-73.60659828;45.52495994;4620167.00;296473;5042788;5;25.64;128.2;22;6;359;118;0;0;0;0;81;28;54731;19842;14979;5429;11068;3910;9444;3457
104969;-73.63243786;45.46206076;4620099.00;294443;5035801;2;29.34;58.7;4;1;42;15;0;0;0;0;87;24;69732;20505;17424;5124;14279;4236;12206;3585
42256;-73.61265228;45.47948505;4620108.00;295993;5037735;4;28.2;112.8;6;1;73;15;1;0;80;0;119;23;79667;11560;19905;3086;16126;2249;13582;2017
60734;-73.64905482;45.55172758;4620265.00;293162;5045768;1;29.31;29.3;3;1;28;11;1;1;8;8;99;24;56411;11215;15666;3385;10988;2164;9517;1818
121463;-73.55004138;45.58294808;4620191.00;300895;5049228;4;28.69;114.8;2;1;34;15;0;0;0;0;82;7;47107;9199;12099;2373;9285;1803;8179;1585
110542;-73.53510499;45.57127384;4620010.00;302060;5047930;2;20.63;41.3;1;1;19;19;0;0;0;0;60;23;22297;8682;5530;2145;4367;1701;4079;1609
259861;-73.61687686;45.54300063;4620245.00;295673;5044794;1;28.18;28.2;24;7;340;108;0;0;0;0;128;39;58759;15722;13796;3400;12107;3226;10672;3032
133579;-73.59596913;45.55278333;4620203.00;297307;5045879;4;21.34;85.4;16;3;228;45;0;0;0;0;113;19;72171;7985;17744;1599;14677;1664;12732;1574
68225;-73.65898177;45.5566453;4620271.00;292388;5046316;1;25.84;25.8;6;2;79;15;1;0;8;0;108;25;76387;15222;21746;4563;14460;2809;12703;2494
48596;-73.55288877;45.53102635;4620037.00;300669;5043458;2;26.33;52.7;21;5;334;55;0;0;0;0;115;34;72014;21445;16972;4621;14419;4356;13247;4132
