SRIDU;F;M;total
4620591.01;1;2;3
4620591.02;1;1;2
4620592.00;;1;1
4620593.01;2;8;10
4620593.02;;6;6
4620594.02;;8;8
4620600.01;;3;3
4620601.02;;5;5
4620602.01;;2;2
4620602.02;;4;4
4620603.01;2;8;10
4620603.02;3;;3
4620603.03;2;;2
4620604.04;;1;1
4620604.05;1;1;2
4620605.03;;2;2
4620605.04;;2;2
4620610.01;;3;3
4620610.02;1;1;2
4620610.03;1;1;2
4620610.04;;1;1
4620611.01;;3;3
4620611.02;1;8;9
4620612.00;3;4;7
4620613.00;;2;2
4620614.00;;1;1
4620616.00;2;8;10
4620617.01;1;3;4
4620617.02;1;;1
4620619.00;2;1;3
4620625.01;;1;1
4620627.00;;1;1
4620632.01;;1;1
4620632.03;;1;1
4620640.00;;1;1
4620641.01;1;1;2
4620643.02;1;;1
4620644.00;;1;1
4620646.01;;1;1
4620659.05;;1;1
4620675.00;;1;1
4620676.01;;1;1
4620677.06;1;1;2
4620704.08;;1;1
4620725.06;;1;1
4620801.00;;1;1
4620828.04;;1;1
4620856.00;;1;1
4620857.02;1;;1
4620860.02;;1;1
4620864.00;;1;1
4620872.00;;1;1
4620883.00;;1;1
4620884.02;1;;1
4620885.00;;1;1
4620886.02;;2;2
