idFeuillet,lng,lat,SRIDU,mtmx,mtmy,popLogi,facteurLogement,popPonderee
11153,-73.613176508,45.5496181571,4620243.00,295963,5045529,4,24.98,99.9
11158,-73.6134575691,45.5556377759,4620249.00,295942,5046198,4,24.84,99.4
11168,-73.5942305768,45.4704042734,4620084.00,297432,5036724,3,30.73,92.2
11182,-73.5417871435,45.5980955268,4620192.00,301540,5050911,3,24.38,73.1
11187,-73.6462657492,45.4639335744,4620101.01,293362,5036011,1,27.94,27.9
11194,-73.5200318993,45.5900659435,4620008.00,303237,5050018,1,25.82,25.8
11198,-73.6052618264,45.5359572038,4620214.00,296579,5044010,3,30.83,92.5
11216,-73.6722592327,45.5381794061,4620268.01,291347,5044266,1,25.84,25.8
11241,-73.5817316271,45.5472694161,4620180.00,298418,5045265,2,16.85,33.7
11252,-73.6339350973,45.5596648573,4620264.01,294344,5046648,2,19.01,38.0
11265,-73.5994231719,45.5359444379,4620211.00,297035,5044008,2,29.66,59.3
11266,-73.5674581041,45.4771450835,4620075.00,299526,5037471,4,24.91,99.6
11305,-73.6359968427,45.5009929348,4620119.00,294172,5040128,2,20.01,40.0
11316,-73.6146992709,45.5489867533,4620243.00,295844,5045459,3,27.2,81.6
11324,-73.5646490206,45.5708110246,4620190.02,299754,5047880,3,26.25,78.8
11332,-73.6484647979,45.5611226258,4620272.00,293210,5046812,2,19.01,38.0
11374,-73.6182130032,45.496180562,4620127.01,295561,5039591,1,27.57,27.6
11401,-73.5825727043,45.5269324803,4620159.00,298350,5043005,2,17.86,35.7
11404,-73.6310030572,45.5106000919,4620124.00,294564,5041195,2,30.37,60.7
11405,-73.586528657,45.4601880826,4620086.00,298033,5035588,2,19.94,39.9
11410,-73.5751302921,45.5524210083,4620184.00,298934,5045837,2,18.21,36.4
11411,-73.6149121034,45.5528738287,4620241.00,295828,5045891,3,27.2,81.6
11414,-73.5353746398,45.5722275789,4620010.00,302039,5048036,1,25.82,25.8
11441,-73.5990335037,45.4524842043,4620092.00,297054,5034733,2,17.64,35.3
11457,-73.5708424689,45.5342380488,4620148.00,299267,5043816,2,29.77,59.5
11480,-73.5701459165,45.5300902235,4620147.00,299321,5043355,1,27.55,27.6
11502,-73.5840022668,45.5326724096,4620174.00,298239,5043643,1,35.12,35.1
11507,-73.5384303213,45.5439807926,4620021.00,301799,5044897,3,25.63,76.9
11513,-73.6939736033,45.5375687019,4620283.02,289651,5044202,1,29.31,29.3
11518,-73.5961725939,45.5519283184,4620203.00,297291,5045784,4,21.3,85.2
11547,-73.5302060537,45.6102288443,4620194.00,302444,5052259,2,20.63,41.3
11568,-73.58577628,45.4615384246,4620086.00,298092,5035738,4,29.02,116.1
11570,-73.5842713283,45.5413736416,4620179.00,298219,5044610,2,19.94,39.9
11590,-73.6023971969,45.5519768986,4620249.00,296805,5045790,3,27.29,81.9
11592,-73.5201516967,45.6025015492,4620002.00,303228,5051400,3,25.48,76.4
11595,-73.550261463,45.5279770833,4620038.00,300874,5043119,2,20.81,41.6
11599,-73.6264559873,45.4689333867,4620103.00,294912,5036564,5,28.2,141.0
11626,-73.5248329234,45.6075756512,4620003.00,302863,5051964,3,15.29,45.9
11646,-73.6689626101,45.5362226835,4620268.01,291604,5044048,1,29.31,29.3
11657,-73.6105905514,45.5501695896,4620242.00,296165,5045590,5,24.98,124.9
11658,-73.6199613435,45.5361946676,4620232.00,295431,5044038,2,24.86,49.7
11668,-73.6309912747,45.4944839147,4620116.00,294562,5039404,1,35.06,35.1
11691,-73.6539267483,45.5723363143,4620276.00,292786,5048059,2,19.01,38.0
11694,-73.6002359758,45.5610221531,4620251.02,296975,5046795,1,23.45,23.5
11697,-73.6348393449,45.4717313248,4620100.00,294257,5036876,1,25.34,25.3
11710,-73.6341317204,45.507689971,4620122.00,294319,5040872,3,29.58,88.7
11720,-73.5790931951,45.5288066078,4620158.00,298622,5043213,1,27.55,27.6
11737,-73.5574310112,45.5534390929,4620188.02,300316,5045949,2,19.94,39.9
11739,-73.563530884,45.5563423299,4620188.01,299840,5046272,6,23.05,138.3
11747,-73.6099995673,45.5360877156,4620218.00,296209,5044025,4,30.7,122.8
11752,-73.6157647373,45.5377197233,4620232.00,295759,5044207,3,18.5,55.5
11753,-73.6259316701,45.5148710441,4620125.00,294961,5041669,2,20.87,41.7
11786,-73.5698242711,45.4874109082,4620077.00,299342,5038612,1,25.18,25.2
11800,-73.6323280499,45.4861768039,4620113.00,294456,5038481,3,28.1,84.3
11803,-73.5562814857,45.5309707393,4620036.00,300404,5043452,1,26.2,26.2
11808,-73.6078314413,45.5472657576,4620243.00,296380,5045267,3,27.2,81.6
