stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
103943,292490.49,5043731.39,45.53339,-73.657604,1,4620223.01,de l'Acadie / Chabanel,615,129,136,116
103946,292481.49,5043765.86,45.5337,-73.65772,1,4620223.01,de l'Acadie / Chabanel,731,203,138,130
103962,292629.63,5048375.43,45.575181,-73.655938,1,4620275.00,Henri-Bourassa / Parthenais,790,226,145,123
103964,292642.42,5048327.62,45.574751,-73.655773,1,4620274.00,Henri-Bourassa / Parthenais,775,225,143,123
103981,292658.77,5047703.92,45.569139,-73.655548,1,4620273.00,Papineau / Prieur,588,158,110,100
103992,292640.02,5047132.84,45.564,-73.655774,1,4620263.00,Fleury / Francis,527,190,86,81
103994,292643.09,5047104.61,45.563746,-73.655734,1,4620263.00,Fleury / Francis,528,183,89,80
104001,292491.97,5039748.89,45.497554,-73.657485,1,4620402.00,Décarie / Ferrier,484,106,96,94
104003,292423.36,5039713.69,45.497236,-73.658362,1,4620112.01,Décarie / Ferrier,478,102,94,94
104013,292591.20,5045672.89,45.550862,-73.656363,1,4620270.00,Station Sauvé Nord (Berri / Sauvé),1094,371,186,175
104014,292606.88,5045629.96,45.550476,-73.656161,1,4620270.00,Station Sauvé Sud (Sauvé / Berri),902,246,169,149
104017,292584.73,5045641.23,45.550577,-73.656445,1,4620270.00,Station Sauvé Nord (Sauvé / Berri),925,248,174,153
104018,292666.96,5045648.40,45.550643,-73.655392,1,4620270.00,Station Sauvé Sud (Sauvé / Berri),436,91,89,80
104021,292677.38,5045746.73,45.551528,-73.655261,1,4620270.00,Station Sauvé Sud (Lajeunesse / Sauvé),924,243,215,150
104022,292655.01,5045765.34,45.551695,-73.655548,1,4620270.00,Sauvé / Lajeunesse,925,248,174,153
104024,292664.39,5045730.09,45.551378,-73.655427,1,4620270.00,Sauvé / Lajeunesse,902,246,169,149
104032,292736.08,5048573.60,45.576966,-73.654579,1,4620274.00,Henri-Bourassa / de Lille,790,226,145,123
